,name,id,artist,artist_id,popularity,release_date,season
95,Wipe Out - Hit Version / Extended Ending,4anUinKv803lyDD1vaSXhU,The Surfaris,6gZVflqhSHhG3MjYrf1dOv,47,2008-01-01,summer
96,Hot Fun in the Summertime,4t6NQkpUmvpvLDCkl3XuwA,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,47,1970-11-21,summer
97,"Up, Up and Away",3JdToGxgvH9SnO1a605Ztr,The 5th Dimension,1UUYAQ9LiRsZF0ZukQNWXM,46,1967,summer
98,San Francisco (Be Sure to Wear Flowers in Your Hair),66ujRcQB3xjilVohGyvTKM,Scott McKenzie,7d7AZ3CQC457bFhK0wHpSO,46,2002-04-09,summer
99,Hotel California (Spanish Mix),4Rvhe8O90hFIExTJkdrRPM,Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,45,2000-09-05,summer
100,Tongue Tied,0GO8y8jQk1PkHzS31d699N,GROUPLOVE,3kVUvbeRdcrqQ3oHk5hPdx,77,2011-09-02,summer
101,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,1KP6TWI40m7p3QBTU6u2xo,77,2015-10-16,summer
102,8TEEN,5bgwqaRSS3M8WHWruHgSL5,Khalid,6LuN9FCkKOj5PcnpouEgny,72,2017-04-27,summer
103,Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,77,2010-11-02,summer
104,Left Hand Free - Extended Version,4DhAIX3t4yC5O7QmBMAL14,alt-J,3XHO7cRUPCLOr6jwp8vsx5,54,2014-09-19,summer
105,505,58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,80,2007-04-24,summer
106,When Will I See You Again,5FSt6K70gANsecaAtXFVbR,Shakka,7fqDRFkiuwzFDde1K0taVs,61,2014-10-19,summer
107,My Kind Of Woman,4tXzPOr4UaBoA7k7pnpJI1,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,26,2013-08-09,summer
108,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,80,2013-10-08,summer
109,Little Talks,2ihCaVdNZmnHZWt0fvAM7B,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,78,2012-01-01,summer
110,Just A Little While,4o8w2detJfT45mdxIJ6hVb,The 502s,4sIuoDOzSlBqeiNJl631zX,42,2021-07-30,summer
111,Right Down the Line,2Xb6wJYGi0QXwURw5WWvI5,Gerry Rafferty,7tjbDPvrdvDshcpEMXKRVb,71,1978,summer
112,Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,Empire Of The Sun,67hb7towEyKvt5Z8Bx306c,79,2008-10-03,summer
113,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,80,1980-06-10,summer
114,Come a Little Closer,4sebUbjqbcgDSwG6PbSGI0,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,73,2013-10-08,summer
115,Good Old Days (feat. Kesha),2Za1AlJNvksouPPWbXpR2X,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,68,2017-09-22,summer
116,The Thrill,4wqzOaLxiCRy2Et8tRyNSX,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,4,2020-11-11,summer
