,name,id,artist,artist_id,popularity,release_date,season
2481,Leni (Crystal Castles vs GoodBooks),6slWUMiyoNNWcQGu6tkTlH,GoodBooks,0pwItbAKmeSTovWzxzkkbg,67,2021-11-18,winter
2482,Two Birds,2n0U2OG5d6TuW5mKx7YrC0,Regina Spektor,3z6Gk257P9jNcZbBXJNX5i,72,2009-06-19,winter
2483,Home - Slowed,3Cou9Rf87erNBpjWjTZZaZ,Edith Whiskers,15K8w0bfYieOr55vhSMgJN,58,2021-09-13,winter
2484,Remember You Omnichord,1Q2BQP5bR6G0ZydJItu8mq,Trillian,3f1O89U9qMnCQbqcwmNXNV,59,2021-08-29,winter
2485,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,d4vd,5y8tKLUfMvliMe8IKamR32,85,2022-07-20,winter
2486,Girl of My Dreams,5ERQFMCgW9JO5EWqwWGpmO,Guti,6BYc2AlVqCvVqTpTvz792O,8,2019-12-14,winter
2487,Suffocation - Slowed,15uq77MdhAjrnBuumngIsz,noturgf,32ENZVmItiETXMCYfM1bbS,72,2023-03-27,winter
2488,Treehouse,7fyG2MquxykO3Ufiku1Dj2,Alex G,6lcwlkAjBPSKnFBZjjZFJs,80,2011-01-17,winter
2489,Mrs Magic,0TZejo18HlJ86OrWNsXKnw,Strawberry Guy,1AbJ2cmwK400LSvdvBL5Jc,79,2019-07-24,winter
2490,snowfall,4xF4ZBGPZKxECeDFrqSAG4,Øneheart,0dgJbQ0bKPyUXco8hEXN7X,82,2022-01-14,winter
2491,Jealous,1aXV8GrmQLvgoFtBPERP7E,Eyedress,3XxNRirzbjfLdDli06zMaB,83,2019-12-06,winter
2492,Show Me How,01TyFEZu6mHbffsVfxgrFn,Men I Trust,3zmfs9cQwzJl575W1ZYXeT,25,2018-02-28,winter
2493,I'll Never Smile Again,2Pi0rY9FcbaecqO0AyhXbu,Tommy Dorsey,4WoGga7UeRcmjD4ufif4nG,61,1990-07-17,winter
2494,Heather,4xqrdfXkTW4T0RauPLv3WA,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,83,2020-03-20,winter
2495,Sparks,7D0RhFcb3CrfPuTJ0obrod,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,85,2000-07-10,winter
2496,I Want You,4Phnrzy56Yt0VNooKCwr3p,Mitski,2uYWxilOVlUdk4oV9DvwqK,0,2013-08-01,winter
2497,I Love You So,1175r6ZmkUjX8dRJLz9Ohk,The Walters,027TpXKGwdXP7iwbjUSpV8,0,2014-11-28,winter
2498,Dark Red,37y7iDayfwm3WXn5BiAoRk,Steve Lacy,57vWImR43h4CaDao012Ofp,3,2017-02-20,winter
2499,The Other Woman,1KuVEZR4xuQVNr1KkanAV4,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,73,2014-01-01,winter
2500,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,Mitski,2uYWxilOVlUdk4oV9DvwqK,88,2023-09-15,winter
2501,I can't do this (Slowed + Reverb),07RP1i1ddiJzh3afa0ekgG,K3NT4!,5chF6eWietLUxodwje2c4M,60,2023-09-15,winter
2502,kitty phonk,0NZLKZc56R75EWQ0PXZz5X,soviss,3I7fppVkKfv4oYUPLo1pKI,53,2022-01-07,winter
2503,Go Kitty Go,4ORAUA7UXUsYRrrkikkYgC,fflockk,6jiNgevJy1dwcPpgf34BVy,0,2023-09-14,winter
2504,King,1Wh5LO3TWAvaeDrwp4FZgo,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,64,2017-05-16,winter
2505,Pure Imagination - Slowed,4k0aDh5L3iGd5fVHnahucM,ceZk,1kvDLAT3QnCYD9z9R5q0L0,52,2023-07-17,winter
2506,Why Does He Hate Her More Than He Loves Me,7FdFdHuW4qIWehoTM2ih73,Jefferson Friedman,1XbVtnn6RYSZLra0kBMInW,32,2022-10-20,winter
2507,Darling,6UpgMTjhFiKV3Sk0emuqDz,Montell Fish,5nvWOyAkfNgVLKESq4fOj2,54,2022-07-22,winter
2508,Genesis - Slowed Reverb Rain,6SQpFKVF28PjyHfrLT1scm,wapoixy,4QZgk4SmHOcm08rCssuyDz,31,2023-10-09,winter
2509,Break It Off - Bonus,78ul3D77noQsYjSwvwiPU1,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,70,2021-10-15,winter
2510,After Dark,0zCgWGmDF0aih5qexATyBn,Mr.Kitty,0pWwt5vGNzezEhfAcc420Y,2,2014-08-08,winter
2511,YKWIM?,2vWBUC9djv6BtiGlmKiQaH,Yot Club,6FugQjLquBF4JzATRN70bR,79,2019-05-31,winter
2512,Gilded Lily,3Z0qLOS0cqWKPHXkbTXmNF,Cults,3Oim8XBPbznAa8Jj8QzNc8,76,2022-10-26,winter
2513,Fourth of July,5Qnrgqy1pAm9GyNQOgyVFz,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,78,2015-03-31,winter
2514,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,Tom Rosenthal,1AgxgADPuRIW1wyaA4OKcB,76,2018-10-26,winter
2515,Cry,3p4hRhMcb6ch8OLtATMaLw,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,84,2019-10-25,winter
2516,Sweet,6ilc4vQcwMPlvAHFfsTGng,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,81,2017-06-09,winter
2517,I Bet on Losing Dogs,2Co0IjcLTSHMtodwD4gzfg,Mitski,2uYWxilOVlUdk4oV9DvwqK,81,2016-06-17,winter
2518,In My Head,5vwXQUwkpmnkJrfv69L6Mp,Bedroom,7COP1HCvVq1cIpZcLQYoNe,68,2013-01-04,winter
2519,Softcore,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,85,2018-11-02,winter
2520,Answering Machine,3boC2M1D82RuRJhUOkSHtg,Ruby Haunt,7LpofGzdLlzTnTLOFUhDD5,60,2019-08-30,winter
2521,Moonlight on the River,2fhOljbX79loRcdl47SFye,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,76,2017-05-05,winter
